year,month,subscribe,gender,count
2013,8,1,NA,F,32
2013,8,1,NA,NA,0
2013,9,0,10,M,0
2013,9,0,10,F,0
2013,9,0,10,NA,0
2013,9,0,20,M,0
2013,9,0,20,F,0
2013,9,0,20,NA,0
2013,9,0,30,M,0
2013,9,0,30,F,0
2013,9,0,30,NA,0
2013,9,0,40,M,0
2013,9,0,40,F,0
2013,9,0,40,NA,0
2013,9,0,50,M,0
2013,9,0,50,F,0
2013,9,0,50,NA,0
2013,9,0,60,M,0
2013,9,0,60,F,0
2013,9,0,60,NA,0
2013,9,0,70,M,0
2013,9,0,70,F,0
2013,9,0,70,NA,0
2013,9,0,>70,M,0
2013,9,0,>70,F,0
2013,9,0,>70,NA,0
2013,9,0,NA,M,0
2013,9,0,NA,F,0
2013,9,0,NA,NA,145169
2013,9,1,10,M,0
2013,9,1,10,F,0
2013,9,1,10,NA,0
2013,9,1,20,M,5360
2013,9,1,20,F,1721
2013,9,1,20,NA,3
2013,9,1,30,M,173545
2013,9,1,30,F,71511
2013,9,1,30,NA,12
2013,9,1,40,M,232900
2013,9,1,40,F,75943
2013,9,1,40,NA,0
2013,9,1,50,M,150598
2013,9,1,50,F,39574
2013,9,1,50,NA,15
2013,9,1,60,M,80566
2013,9,1,60,F,24943
2013,9,1,60,NA,0
2013,9,1,70,M,24033
2013,9,1,70,F,5257
2013,9,1,70,NA,30
2013,9,1,>70,M,2645
2013,9,1,>70,F,417
2013,9,1,>70,NA,0
2013,9,1,NA,M,83
2013,9,1,NA,F,34
2013,9,1,NA,NA,0
2013,10,0,10,M,0
2013,10,0,10,F,0
2013,10,0,10,NA,0
2013,10,0,20,M,0
2013,10,0,20,F,0
2013,10,0,20,NA,0
2013,10,0,30,M,0
2013,10,0,30,F,0
2013,10,0,30,NA,0
2013,10,0,40,M,0
2013,10,0,40,F,0
2013,10,0,40,NA,0
2013,10,0,50,M,0
2013,10,0,50,F,0
2013,10,0,50,NA,0
2013,10,0,60,M,0
2013,10,0,60,F,0
2013,10,0,60,NA,0
2013,10,0,70,M,0
2013,10,0,70,F,0
2013,10,0,70,NA,0
2013,10,0,>70,M,0
2013,10,0,>70,F,0
2013,10,0,>70,NA,0
2013,10,0,NA,M,0
2013,10,0,NA,F,0
