id,name,lat,long,nbBikes,nbEmptyDocks,installed,locked,temporary,public
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.072305,13,6,true,false,false,true
129,Clarendon Blvd & Pierce St,38.893438,-77.076389,7,8,true,false,false,true
130,Wilson Blvd & N Uhle St,38.891696,-77.0846,5,10,true,false,false,true
131,N Rhodes & 16th St N,38.892164,-77.079375,6,5,true,false,false,true
132,Fairfax Village,38.86559,-76.952103,5,9,true,false,false,true
133,21st St & Constitution Ave NW,38.892459,-77.046567,8,7,true,false,false,true
134,Wilson Blvd & N Edgewood St,38.889,-77.0925,8,6,true,false,false,true
135,Columbia Rd & Belmont St NW,38.920669,-77.04368,5,13,true,false,false,true
136,17th & Rhode Island Ave NW,38.906602,-77.038785,10,12,true,false,false,true
137,Thomas Circle,38.9059,-77.0325,15,17,true,false,false,true
138,Wilson Blvd & Franklin Rd,38.8904,-77.0889,7,4,true,false,false,true
139,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,6,9,true,false,false,true
140,Clarendon Metro / Wilson Blvd & N Highland St,38.88786,-77.094875,8,9,true,false,false,true
141,18th St & Pennsylvania Ave NW,38.89968,-77.041539,8,18,true,false,false,true
142,Maryland & Independence Ave SW,38.887299,-77.018939,8,31,true,false,false,true
143,4th & E St SW,38.88412,-77.017445,7,11,true,false,false,true
144,3rd & G St SE,38.881185,-77.001828,13,6,true,false,false,true
145,7th & R St NW / Shaw Library,38.912719,-77.022155,5,10,true,false,false,true
146,9th & Upshur St NW,38.9418,-77.0251,9,6,true,false,false,true
147,1st & Rhode Island Ave NW,38.915417,-77.012289,10,4,true,false,false,true
148,Columbia Rd & Georgia Ave NW,38.92812111132096,-77.0237946510315,9,10,true,false,false,true
149,California St & Florida Ave NW,38.917761,-77.04062,14,5,true,false,false,true
150,Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723,12,7,true,false,false,true
151,3000 Connecticut Ave NW / National Zoo,38.930282,-77.055599,10,4,true,false,false,true
152,Anacostia Ave & Benning Rd NE / River Terrace ,38.896544,-76.96012,5,10,true,false,false,true
153,M St & Pennsylvania Ave NW,38.905126,-77.056887,8,11,true,false,false,true
154,15th St & Massachusetts Ave SE,38.88732,-76.983569,6,9,true,false,false,true
155,Congress Heights Metro,38.844711,-76.987823,10,5,true,false,false,true
156,N Quincy St & Glebe Rd,38.876393,-77.107735,6,4,true,false,false,true
157,Wilson Blvd & N Oakland St,38.8815,-77.10396,8,3,true,false,false,true
158,N Veitch  & 20th St N,38.896923,-77.086502,7,8,true,false,false,true
159,10th & K St NW,38.9024,-77.02622,10,12,true,false,false,true
160,Fairfax Dr & Wilson Blvd,38.885801,-77.097745,3,8,true,false,false,true
161,Key Blvd & N Quinn St,38.896015,-77.078107,7,4,true,false,false,true
162,1st & K St SE,38.87861,-77.006004,7,7,true,false,false,true
163,39th & Calvert St NW / Stoddert,38.922649,-77.077271,11,8,true,false,false,true
164,1st & Washington Hospital Center NW,38.928743,-77.012457,7,8,true,false,false,true
165,Virginia Square Metro / N Monroe St & 9th St N,38.882788,-77.103148,9,10,true,false,false,true
166,Central Library / N Quincy St & 10th St N,38.88397,-77.10783,5,6,true,false,false,true
167,Washington Blvd & 10th St N,38.884734,-77.093485,8,7,true,false,false,true
168,Jefferson Dr & 14th St SW,38.888553,-77.032429,13,9,true,false,false,true
169,Smithsonian / Jefferson Dr & 12th St SW,38.888767,-77.02858,8,14,true,false,false,true
170,George Mason Dr & Wilson Blvd,38.87887,-77.1207,5,10,true,false,false,true
171,6th St & Indiana Ave NW,38.894573,-77.01994,9,10,true,false,false,true
172,N Veitch & Key Blvd,38.893241,-77.086045,6,5,true,false,false,true
173,Lee Hwy & N Adams St,38.89593,-77.089006,8,11,true,false,false,true
174,15th & N Scott St,38.89054,-77.08095,6,5,true,false,false,true
175,Washington Blvd & 7th St N,38.880834,-77.091129,4,7,true,false,false,true
176,Ballston Metro / N Stuart & 9th St N,38.881044,-77.111768,13,9,true,false,false,true
177,N Randolph St & Fairfax Dr,38.882629,-77.109366,5,6,true,false,false,true
